"Title","WorkoutType","WorkoutDescription","PlannedDuration","PlannedDistanceInMeters","WorkoutDay","CoachComments","DistanceInMeters","PowerAverage","PowerMax","Energy","AthleteComments","TimeTotalInHours","VelocityAverage","VelocityMax","CadenceAverage","CadenceMax","HeartRateAverage","HeartRateMax","TorqueAverage","TorqueMax","IF","TSS","HRZone1Minutes","HRZone2Minutes","HRZone3Minutes","HRZone4Minutes","HRZone5Minutes","HRZone6Minutes","HRZone7Minutes","HRZone8Minutes","HRZone9Minutes","HRZone10Minutes","PWRZone1Minutes","PWRZone2Minutes","PWRZone3Minutes","PWRZone4Minutes","PWRZone5Minutes","PWRZone6Minutes","PWRZone7Minutes","PWRZone8Minutes","PWRZone9Minutes","PWRZone10Minutes","Rpe","Feeling"
"2 * 15 min SS","Bike","","1.25","","2025-04-24","","38562.08984375","190","400","860.956","","1.25833332538605","8.51200008392334","","86","","142","172","","","0.777747694152881","75.67","39","12","23","2","0","0","0","","","","38","3","12","20","2","1","","","","","4","5"
"2* 10min 10k pace ish","Run","","1","","2025-04-25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3. 1000 strong","Swim","","0.666666666666667","2200","2025-04-25","","675","","","","","0.187754167450799","0.991189427312775","","55","","","","","","0.988659812563911","18.14","","","","","","","","","","","","","","","","","","","","","",""
"Yoga","Other","","","","2025-04-25","","","","","","","0.192099437117577","","","","","93","120","","","0.561372492497235","6.43","","","","","","","","","","","","","","","","","","","","","",""
"Long Run w/ 20min hm pace","Run","155-165bpm & 175–185bpm","1.5","20987","2025-04-26","","17609.779296875","","","","","1.50919771194458","3.2409999370575","","160","","162","184","","","0.746792587155605","94.18","9","59","13","11","0","0","0","","","","","","","","","","","","","","5","7"
"Long Ride","Bike","","3.5","","2025-04-27","","52558.7890625","139","784","1142.255"," *28/04/2025 Adam Moore: Felt me, allmost hit by a car turned around to go home but carried on then hit a pothole in the tt position and somehow saved it rode back after that rather than finishijngthe session*","2.30666065216064","6.3289999961853","","82","","133","168","","","0.637232646154175","93.22","118","20","1","0","0","0","0","","","","78","33","17","9","2","1","","","","","",""
"1. Pull yourself together","Swim","","1.08333333333333","3200","2025-04-28","","3200","","","","","0.945574722819858","0.933216681248177","","53","","","","","","0.93065093510082","76.22","","","","","","","","","","","","","","","","","","","","","",""
"3 * 8min 10k pace ish","Run","","1","","2025-04-29","","6821.58984375","","","","","0.710880517959595","2.66599988937378","","143","","161","194","","","0.599319685608649","28.05","15","13","6","6","2","1","0","","","","","","","","","","","","","","7","7"
"2. Pull it off","Swim","","0.75","2400","2025-04-30","","2400","","","","","0.740265000131395","0.898203592814371","","52","","","","","","0.891572612352133","52.46","","","","","","","","","","","","","","","","","","","","","",""
"Legs","Strength","Trap bar Deadlift: 3 * 8-10 Bulgarian Split Squat: 2 * 8-10 per leg Hamstring curl: 2 *6-8 Cossack Squat: 2 * 6 per side Pallof Press: 2 *12 per side Bird-Dog: 2 * 10 per side","0.5","","2025-04-30","","0","","","","","0.501078069210052","0","","","","118","150","","","0.605037360453144","19.97","","","","","","","","","","","","","","","","","","","","","",""
"3 * 4","Bike","","1","","2025-04-30","","26518","147","738","577.741","","1.10297000408173","6.67799997329712","","78","","139","178","","","0.812780212826506","72.49","45","11","5","5","0","0","0","","","","41","6","3","5","6","6","","","","","",""
"Endurance w/ strides","Run","or 155-165bpm","0.916666666666667","10428","2025-05-01","","9017.740234375","","","","","0.92044198513031","2.72099995613098","","159","","155","170","","","0.611842492753598","38.1","14","40","1","0","0","0","0","","","","","","","","","","","","","","3","5"
"3. Tick Tok","Swim","","0.833333333333333","2600","2025-05-02","","1075","","","","","0.319096945126851","0.92832469775475","","51","","","","","","0.926442589046033","25.37","","","","","","","","","","","","","","","","","","","","","",""
"Upper, shoulders + core","Strength","Incline Dumbell press: 3 * 8-10 Single-arm dumbell row: 3 * 8-10 per side Face-pull with band or rope: 2 * 15 Dumbell overhead press: 2 * 8-10 Hanging knee raise: 2 * 8-12 Deadbug: 2 * 10 per side","0.5","","2025-05-02","","0","","","","","0.499413907527924","0","","","","110","132","","","0.593370719187123","19.14","","","","","","","","","","","","","","","","","","","","","",""
"3 * 15 min SS","Bike","","1.55","","2025-05-02","","48304.859375","198","410","1111.796","","1.5538889169693","8.63500022888184","","86","","148","170","","","0.802187620296478","99.74","42","17","35","0","0","0","0","","","","40","5","18","29","3","1","","","","","",""
"","Run","","","","2025-05-03","","1636.88000488281","","","","","0.177641943097115","2.55999994277954","","151","","118","152","","","0.577960617269476","6.3","11","0","0","0","0","0","0","","","","","","","","","","","","","","1","5"
"Long Ride (last 45)","Bike","","3.5","","2025-05-04","","72373.2890625","176","582","2123.961","","3.3521671295166","5.99700021743774","","75","","142","171","","","0.772371270279594","199.12","105","84","12","0","0","0","0","","","","72","34","47","36","10","5","","","","","",""
"Long Run w/ 30min hm pace","Run","155-165bpm & 175–185bpm","1.5","18880","2025-05-05","","17308.7890625","","","","","1.50151133537292","3.20199990272522","","159","","156","174","","","0.721150724674559","87.4","22","60","8","0","0","0","0","","","","","","","","","","","","","","3","7"
"Yoga","Other","","","","2025-05-05","","","","","","","0.259273618459702","","","","","108","131","","","0.591132696990173","9.71","","","","","","","","","","","","","","","","","","","","","",""
"3 * 2","Bike","","0.8","","2025-05-06","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1. Keeping a low profile","Swim","","0.666666666666667","2100","2025-05-07","","2100","","","","","0.648381389511956","0.893997445721584","","51","","","","","","0.890679481770275","45.81","","","","","","","","","","","","","","","","","","","","","",""
"Legs","Strength","Trap bar Deadlift: 3 * 8-10 Bulgarian Split Squat: 2 * 8-10 per leg Hamstring curl: 2 *6-8 Cossack Squat: 2 * 6 per side Pallof Press: 2 *12 per side Bird-Dog: 2 * 10 per side","0.5","","2025-05-07","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Endurance w/ strides","Run","or 155-165bpm","0.816666666666667","9352","2025-05-08","","8073.89990234375","","","","","0.836351096630096","2.68199992179871","","162","","","","","","0.609845141299678","34.31","","","","","","","","","","","","","","","","","","","","","2","7"
"Hiking","Walk","","","","2025-05-08","","3566.92993164063","","","","","0.752727508544922","1.31599998474121","","98","","100","145","","","0.370094687834739","11.35","","","","","","","","","","","","","","","","","","","","","",""
"2. Show your sprints","Swim","","0.666666666666667","1800","2025-05-09","","1750","","","","","0.560379998948839","0.85995085995086","","53","","","","","","0.858792249728272","35.49","","","","","","","","","","","","","","","","","","","","","",""
"2 * 12 min SS","Bike","","1.15","","2025-05-09","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3* 5min HM pace ish","Run","","0.833333333333333","","2025-05-09","","8309.4599609375","","","","","0.835877776145935","2.76099991798401","","148","","150","185","","","0.632085266163085","36.83","25","10","5","11","0","0","0","","","","","","","","","","","","","","3","7"
"Yoga","Other","","","","2025-05-09","","","","","","","0.137081116437912","","","","","106","120","","","0.602930336920739","5.26","","","","","","","","","","","","","","","","","","","","","",""
"Long Ride","Bike","","2.25","","2025-05-10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3. 10* 100 /2k OWS","Swim","","0.75","2100","2025-05-11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Upper, shoulders + core","Strength","Incline Dumbell press: 3 * 8-10 Single-arm dumbell row: 3 * 8-10 per side Face-pull with band or rope: 2 * 15 Dumbell overhead press: 2 * 8-10 Hanging knee raise: 2 * 8-12 Deadbug: 2 * 10 per side","0.5","","2025-05-11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Long Run z2","Run","155-165bpm","1.25","14600","2025-05-11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1. In the flow","Swim","","0.75","2400","2025-05-12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Legs","Strength","Trap bar Deadlift: 3 * 8-10 Bulgarian Split Squat: 2 * 8-10 per leg Hamstring curl: 2 *6-8 Cossack Squat: 2 * 6 per side Pallof Press: 2 *12 per side Bird-Dog: 2 * 10 per side","0.5","","2025-05-12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4 * 4","Bike","","1.16666666666667","","2025-05-13","","41391.109375","39","255","292.16","","2.08089256286621","5.52500009536743","","71","","123","167","","","0.596649962296098","83.59","116","9","0","0","0","0","0","","","","124","0","0","0","0","0","","","","","",""
"2. Speed Class(m)","Swim","","0.666666666666667","1800","2025-05-14","","1800","","","","","0.53740527788798","0.924024640657084","","54","","","","","","0.921092554106215","42","","","","","","","","","","","","","","","","","","","","","",""
"Endurance w/ strides","Run","","0.566666666666667","7276","2025-05-14","","5993.43017578125","","","","","0.569622218608856","2.92300009727478","","156","","151","172","","","0.663877217465356","27.43","19","14","1","0","0","0","0","","","","","","","","","","","","","","2","5"
"2 * 20 min SS","Bike","","1.48333333333333","","2025-05-15","","33793.4609375","166","515","900.969","","1.5166072845459","6.19000005722046","","75","","148","175","","","0.779340090711318","91.49","39","23","22","8","0","0","0","","","","38","10","15","19","7","2","","","","","",""
"3. Pyramid Scheme(M)","Swim","","0.75","2400","2025-05-16","","2400","","","","","0.67354444609748","0.984009840098401","","55","","","","","","0.979890790910746","63.37","","","","","","","","","","","","","","","","","","","","","",""
"jog w/ strides","Run","or 155-165bpm","0.366666666666667","4438","2025-05-16","","3517.4599609375","","","","","0.367373883724213","2.66000008583069","","159","","131","156","","","0.603765252720214","14.46","22","0","0","0","0","0","0","","","","","","","","","","","","","","2","9"
"Shakeout","Run","","0.25","3000","2025-05-17","","2615.7900390625","","","","","0.25252777338028","2.87700009346008","","161","","138","151","","","0.653864895669662","11.57","15","0","0","0","0","0","0","","","","","","","","","","","","","","2","3"
"Yoga","Other","","","","2025-05-17","","","","","","","0.168488323688507","","","","","108","126","","","0.596923529977374","6.36","","","","","","","","","","","","","","","","","","","","","",""
"WU","Run","","0.333333333333333","2869","2025-05-18","","1739.66003417969","","","","","0.179434448480606","2.69300007820129","","136","","160","182","","","0.581974155500649","6.44","3","3","3","1","0","0","0","","","","","","","","","","","","","","2","5"
"Chester Half Marathon","Run","","1.28944444444444","21100","2025-05-18","","21284.69921875","","","","","1.45413088798523","4.06599998474121","","164","","181","193","","","0.920867027196523","137.86","0","1","3","79","4","0","0","","","","","","","","","","","","","","9","3"
"Cycling","Bike","","","","2025-05-18","","8774.2900390625","89","248","163.551","","0.52008444070816","4.68599987030029","","73","","113","129","","","0.408718294363907","8.52","31","0","0","0","0","0","0","","","","28","2","1","0","0","0","","","","","",""
"1. 54321 (m)","Swim","","0.75","2200","2025-05-19","","2200","","","","","0.662682500945197","0.916666666666667","","52","","","","","","0.912956052313252","50.43","","","","","","","","","","","","","","","","","","","","","",""
"Endurance Run","Run","150-155","0.811666666666667","10000","2025-05-20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3×12 min @ 90% FTP (3 min rest, upright)","Bike","","1.41666666666667","","2025-05-21","","35771.21875","171","482","1016.424","","1.64836859703064","6.02799987792969","","76","","151","180","","","0.754033382367318","93.11","40","26","19","14","0","0","0","","","","46","17","14","16","6","3","","","","","",""
"2. Laid Back Swim(M)","Swim","","0.583333333333333","1800","2025-05-21","","1660.09997558594","","","","","0.59741199016571","0.772000014781952","","25","","141","158","","","0.764175310842859","26.66","1","3","6","15","11","","","","","","","","","","","","","","","","",""
"Endurance Run","Run","150-155","0.811666666666667","10000","2025-05-22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Yoga","Other","","","","2025-05-22","","","","","","","0.152719438076019","","","","","97","112","","","0.579974391197301","5.43","","","","","","","","","","","","","","","","","","","","","",""
"2×15 min @ 85% FTP (5 min rest, aero)","Bike","","1.33333333333333","","2025-05-23","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3. Rocket Power","Swim","","","1300","2025-05-23","","1300","","","","","0.380390000873142","0.938628158844765","","56","","","","","","0.939824914375771","31.58","","","","","","","","","","","","","","","","","","","","","",""
"Running","Run","","","","2025-05-23","","948.280029296875","","","","","0.112147495150566","2.34899997711182","","143","","113","147","","","0.497393492009631","2.92","7","0","0","0","0","0","0","","","","","","","","","","","","","","2","9"
"Long Run","Run","or 155-165bpm","1.2175","15000","2025-05-24","","4825.919921875","","","","","0.509677231311798","2.63000011444092","","154","","138","159","","","0.618532537861375","21.25","29","2","0","0","0","0","0","","","","","","","","","","","","","","3","7"
